Date : 2023-08-13 16:56:38
Directory : d:\coding\syndicate-bot-2
Total : 177 files,  12985 codes, 264 comments, 1231 blanks, all 14480 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\models (Files)                                                             |          5 |        628 |         36 |         68 |        732 |
| src\models\cluster-api                                                         |          3 |         33 |          0 |          9 |         42 |
| src\models\enum-helpers                                                        |          3 |        344 |          4 |         11 |        359 |
| src\models\master-api                                                          |          2 |         41 |          0 |          8 |         49 |
| src\reactions                                                                  |          2 |         15 |          0 |          4 |         19 |
| src\services                                                                   |          8 |        524 |          7 |         64 |        595 |
| src\triggers                                                                   |          2 |          8 |          0 |          4 |         12 |
| src\types                                                                      |          1 |      2,369 |          0 |          0 |      2,369 |
| src\utils                                                                      |         45 |      3,159 |         41 |        382 |      3,582 |
| src\utils (Files)                                                              |         23 |      2,347 |         39 |        253 |      2,639 |
| src\utils\database                                                             |         22 |        812 |          2 |        129 |        943 |
| src\webhooks                                                                   |          1 |         67 |          0 |          5 |         72 |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                       | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\coding\syndicate-bot-2\.dockerignore                                        | Ignore             |          8 |          2 |          2 |         12 |
| d:\coding\syndicate-bot-2\.eslintrc.json                                       | JSON with Comments |         94 |          0 |          1 |         95 |
| d:\coding\syndicate-bot-2\.gitbook.yaml                                        | YAML               |          1 |          0 |          1 |          2 |
| d:\coding\syndicate-bot-2\.prettierignore                                      | Ignore             |          7 |          1 |          1 |          9 |
| d:\coding\syndicate-bot-2\.prettierrc.json                                     | JSON               |         12 |          0 |          1 |         13 |
| d:\coding\syndicate-bot-2\Dockerfile                                           | Docker             |          8 |          7 |          8 |         23 |
| d:\coding\syndicate-bot-2\LEGAL.md                                             | Markdown           |         36 |          0 |         34 |         70 |
| d:\coding\syndicate-bot-2\README.md                                            | Markdown           |         90 |          0 |         40 |        130 |
| d:\coding\syndicate-bot-2\lang\lang.common.json                                | JSON               |         33 |          0 |          1 |         34 |
| d:\coding\syndicate-bot-2\lang\lang.en-GB.json                                 | JSON               |        300 |          0 |          1 |        301 |
| d:\coding\syndicate-bot-2\lang\lang.en-US.json                                 | JSON               |        300 |          0 |          1 |        301 |
| d:\coding\syndicate-bot-2\lang\logs.json                                       | JSON               |         60 |          0 |          1 |         61 |
| d:\coding\syndicate-bot-2\misc\Discord Bot Cluster API.postman_collection.json | JSON               |        135 |          0 |          0 |        135 |
| d:\coding\syndicate-bot-2\package.json                                         | JSON               |         78 |          0 |          1 |         79 |
| d:\coding\syndicate-bot-2\process.json                                         | JSON               |         10 |          0 |          1 |         11 |
| d:\coding\syndicate-bot-2\src\buttons\approve-button-event.ts                  | TypeScript         |         52 |          0 |          5 |         57 |
| d:\coding\syndicate-bot-2\src\buttons\button.ts                                | TypeScript         |         19 |          0 |          4 |         23 |
| d:\coding\syndicate-bot-2\src\buttons\channel-button-event.ts                  | TypeScript         |        126 |          0 |          5 |        131 |
| d:\coding\syndicate-bot-2\src\buttons\direct-button-event.ts                   | TypeScript         |         62 |          0 |         12 |         74 |
| d:\coding\syndicate-bot-2\src\buttons\index.ts                                 | TypeScript         |          2 |          0 |          2 |          4 |
| d:\coding\syndicate-bot-2\src\buttons\input-button-event.ts                    | TypeScript         |         43 |          0 |          5 |         48 |
| d:\coding\syndicate-bot-2\src\buttons\link-button-event.ts                     | TypeScript         |         55 |          0 |         14 |         69 |
| d:\coding\syndicate-bot-2\src\buttons\mention-button-event.ts                  | TypeScript         |        121 |          0 |          5 |        126 |
| d:\coding\syndicate-bot-2\src\buttons\poll-button-event.ts                     | TypeScript         |        148 |         12 |         17 |        177 |
| d:\coding\syndicate-bot-2\src\buttons\quiz-button-event.ts                     | TypeScript         |        146 |         12 |         15 |        173 |
| d:\coding\syndicate-bot-2\src\buttons\setup\setup-button-1.ts                  | TypeScript         |         44 |          0 |          5 |         49 |
| d:\coding\syndicate-bot-2\src\buttons\setup\setup-button-2.ts                  | TypeScript         |         66 |          0 |          6 |         72 |
| d:\coding\syndicate-bot-2\src\buttons\setup\setup-button-3.ts                  | TypeScript         |         64 |          0 |          6 |         70 |
| d:\coding\syndicate-bot-2\src\buttons\setup\setup-button-4.ts                  | TypeScript         |        107 |          0 |          7 |        114 |
| d:\coding\syndicate-bot-2\src\buttons\setup\setup-button-5.ts                  | TypeScript         |         55 |          0 |          5 |         60 |
| d:\coding\syndicate-bot-2\src\buttons\setup\setup-button-6.ts                  | TypeScript         |         69 |          0 |          8 |         77 |
| d:\coding\syndicate-bot-2\src\buttons\system.ts                                | TypeScript         |        151 |          0 |         20 |        171 |
| d:\coding\syndicate-bot-2\src\commands\ambassador-command.ts                   | TypeScript         |         39 |          0 |          8 |         47 |
| d:\coding\syndicate-bot-2\src\commands\args.ts                                 | TypeScript         |         53 |          0 |          2 |         55 |
| d:\coding\syndicate-bot-2\src\commands\command.ts                              | TypeScript         |         28 |          0 |          4 |         32 |
| d:\coding\syndicate-bot-2\src\commands\guild\channels-command.ts               | TypeScript         |         22 |          0 |          5 |         27 |
| d:\coding\syndicate-bot-2\src\commands\guild\mention-command.ts                | TypeScript         |         22 |          0 |          5 |         27 |
| d:\coding\syndicate-bot-2\src\commands\guild\premium-command.ts                | TypeScript         |         56 |          0 |          6 |         62 |
| d:\coding\syndicate-bot-2\src\commands\guild\referral-command.ts               | TypeScript         |         44 |          0 |         10 |         54 |
| d:\coding\syndicate-bot-2\src\commands\guild\setup-command.ts                  | TypeScript         |        106 |          2 |          8 |        116 |
| d:\coding\syndicate-bot-2\src\commands\index.ts                                | TypeScript         |          4 |          0 |          2 |          6 |
| d:\coding\syndicate-bot-2\src\commands\metadata.ts                             | TypeScript         |        120 |         20 |          6 |        146 |
| d:\coding\syndicate-bot-2\src\commands\news\approve-command.ts                 | TypeScript         |         19 |          0 |          5 |         24 |
| d:\coding\syndicate-bot-2\src\commands\news\direct-command.ts                  | TypeScript         |         39 |          0 |          7 |         46 |
| d:\coding\syndicate-bot-2\src\commands\news\news-command.ts                    | TypeScript         |         65 |          0 |          4 |         69 |
| d:\coding\syndicate-bot-2\src\commands\news\unsubscribe-command.ts             | TypeScript         |         28 |          0 |          4 |         32 |
| d:\coding\syndicate-bot-2\src\commands\trial-command.ts                        | TypeScript         |         33 |          0 |          7 |         40 |
| d:\coding\syndicate-bot-2\src\config\botSites.ts                               | TypeScript         |         52 |          0 |          1 |         53 |
| d:\coding\syndicate-bot-2\src\config\config.ts                                 | TypeScript         |         98 |          1 |          1 |        100 |
| d:\coding\syndicate-bot-2\src\config\debug.ts                                  | TypeScript         |         12 |          0 |          1 |         13 |
| d:\coding\syndicate-bot-2\src\constants\discord-limits.ts                      | TypeScript         |         15 |          0 |          1 |         16 |
| d:\coding\syndicate-bot-2\src\constants\index.ts                               | TypeScript         |          1 |          0 |          1 |          2 |
| d:\coding\syndicate-bot-2\src\controllers\controller.ts                        | TypeScript         |          7 |          0 |          2 |          9 |
| d:\coding\syndicate-bot-2\src\controllers\guilds-controller.ts                 | TypeScript         |         28 |          0 |          7 |         35 |
| d:\coding\syndicate-bot-2\src\controllers\index.ts                             | TypeScript         |          4 |          0 |          1 |          5 |
| d:\coding\syndicate-bot-2\src\controllers\root-controller.ts                   | TypeScript         |         13 |          0 |          5 |         18 |
| d:\coding\syndicate-bot-2\src\controllers\shards-controller.ts                 | TypeScript         |         70 |          0 |         14 |         84 |
| d:\coding\syndicate-bot-2\src\embeds\system.ts                                 | TypeScript         |         92 |          0 |         10 |        102 |
| d:\coding\syndicate-bot-2\src\enums\help-option.ts                             | TypeScript         |          4 |          0 |          1 |          5 |
| d:\coding\syndicate-bot-2\src\enums\index.ts                                   | TypeScript         |          2 |          0 |          1 |          3 |
| d:\coding\syndicate-bot-2\src\enums\info-option.ts                             | TypeScript         |          5 |          0 |          1 |          6 |
| d:\coding\syndicate-bot-2\src\events\button-handler.ts                         | TypeScript         |         76 |          7 |         12 |         95 |
| d:\coding\syndicate-bot-2\src\events\channel-delete-handler.ts                 | TypeScript         |         43 |          0 |          3 |         46 |
| d:\coding\syndicate-bot-2\src\events\command-handler.ts                        | TypeScript         |        144 |          6 |         15 |        165 |
| d:\coding\syndicate-bot-2\src\events\event-handler.ts                          | TypeScript         |          3 |          0 |          1 |          4 |
| d:\coding\syndicate-bot-2\src\events\guild-join-handler.ts                     | TypeScript         |         87 |          3 |          5 |         95 |
| d:\coding\syndicate-bot-2\src\events\guild-leave-handler.ts                    | TypeScript         |         26 |          0 |          4 |         30 |
| d:\coding\syndicate-bot-2\src\events\index.ts                                  | TypeScript         |          8 |          0 |          1 |          9 |
| d:\coding\syndicate-bot-2\src\events\menu-handler.ts                           | TypeScript         |         77 |          0 |         11 |         88 |
| d:\coding\syndicate-bot-2\src\events\message-handler.ts                        | TypeScript         |         11 |          2 |          5 |         18 |
| d:\coding\syndicate-bot-2\src\events\modal-submit-handler.ts                   | TypeScript         |         77 |          6 |         12 |         95 |
| d:\coding\syndicate-bot-2\src\events\reaction-handler.ts                       | TypeScript         |         44 |          6 |         13 |         63 |
| d:\coding\syndicate-bot-2\src\events\role-delete-handler.ts                    | TypeScript         |         10 |          0 |          3 |         13 |
| d:\coding\syndicate-bot-2\src\events\trigger-handler.ts                        | TypeScript         |         38 |          5 |         11 |         54 |
| d:\coding\syndicate-bot-2\src\extensions\BotError.ts                           | TypeScript         |         15 |          0 |          3 |         18 |
| d:\coding\syndicate-bot-2\src\extensions\custom-client.ts                      | TypeScript         |         21 |          0 |          3 |         24 |
| d:\coding\syndicate-bot-2\src\extensions\index.ts                              | TypeScript         |          1 |          0 |          1 |          2 |
| d:\coding\syndicate-bot-2\src\jobs\index.ts                                    | TypeScript         |          2 |          0 |          1 |          3 |
| d:\coding\syndicate-bot-2\src\jobs\job.ts                                      | TypeScript         |          6 |          0 |          1 |          7 |
| d:\coding\syndicate-bot-2\src\jobs\restart-shard-job.ts                        | TypeScript         |         16 |          0 |          6 |         22 |
| d:\coding\syndicate-bot-2\src\jobs\update-server-count-job.ts                  | TypeScript         |         42 |         23 |         12 |         77 |
| d:\coding\syndicate-bot-2\src\menus\approve-menu-event.ts                      | TypeScript         |         91 |          0 |         17 |        108 |
| d:\coding\syndicate-bot-2\src\menus\chain-menu-event.ts                        | TypeScript         |         65 |          0 |         11 |         76 |
| d:\coding\syndicate-bot-2\src\menus\channel-add-menu-event.ts                  | TypeScript         |         68 |          0 |          5 |         73 |
| d:\coding\syndicate-bot-2\src\menus\channel-remove-menu-event.ts               | TypeScript         |         69 |          0 |          6 |         75 |
| d:\coding\syndicate-bot-2\src\menus\index.ts                                   | TypeScript         |          1 |          0 |          1 |          2 |
| d:\coding\syndicate-bot-2\src\menus\mention-add-menu-event.ts                  | TypeScript         |         65 |          0 |          5 |         70 |
| d:\coding\syndicate-bot-2\src\menus\mention-remove-menu-event.ts               | TypeScript         |         72 |          0 |          7 |         79 |
| d:\coding\syndicate-bot-2\src\menus\menu.ts                                    | TypeScript         |         19 |          0 |          4 |         23 |
| d:\coding\syndicate-bot-2\src\menus\tag-menu-event.ts                          | TypeScript         |         47 |          0 |         13 |         60 |
| d:\coding\syndicate-bot-2\src\messages\previews\ethereum.ts                    | TypeScript         |         99 |          0 |          1 |        100 |
| d:\coding\syndicate-bot-2\src\messages\previews\general.ts                     | TypeScript         |         73 |          1 |          1 |         75 |
| d:\coding\syndicate-bot-2\src\messages\previews\solana.ts                      | TypeScript         |         99 |          0 |          1 |        100 |
| d:\coding\syndicate-bot-2\src\messages\setup.ts                                | TypeScript         |        165 |          0 |         12 |        177 |
| d:\coding\syndicate-bot-2\src\middleware\check-auth.ts                         | TypeScript         |         10 |          0 |          2 |         12 |
| d:\coding\syndicate-bot-2\src\middleware\handle-error.ts                       | TypeScript         |         16 |          0 |          5 |         21 |
| d:\coding\syndicate-bot-2\src\middleware\index.ts                              | TypeScript         |          3 |          0 |          1 |          4 |
| d:\coding\syndicate-bot-2\src\middleware\map-class.ts                          | TypeScript         |         32 |          3 |          6 |         41 |
| d:\coding\syndicate-bot-2\src\modals\code-modal-event.ts                       | TypeScript         |         52 |          0 |         15 |         67 |
| d:\coding\syndicate-bot-2\src\modals\input-modal-event.ts                      | TypeScript         |         64 |          0 |         18 |         82 |
| d:\coding\syndicate-bot-2\src\modals\modalSubmit.ts                            | TypeScript         |         19 |          0 |          4 |         23 |
| d:\coding\syndicate-bot-2\src\modals\referral-modal-event.ts                   | TypeScript         |         67 |          0 |         17 |         84 |
| d:\coding\syndicate-bot-2\src\models\api.ts                                    | TypeScript         |         34 |          0 |          7 |         41 |
| d:\coding\syndicate-bot-2\src\models\bot.ts                                    | TypeScript         |        528 |         31 |         45 |        604 |
| d:\coding\syndicate-bot-2\src\models\cluster-api\guilds.ts                     | TypeScript         |          3 |          0 |          1 |          4 |
| d:\coding\syndicate-bot-2\src\models\cluster-api\index.ts                      | TypeScript         |          2 |          0 |          1 |          3 |
| d:\coding\syndicate-bot-2\src\models\cluster-api\shards.ts                     | TypeScript         |         28 |          0 |          7 |         35 |
| d:\coding\syndicate-bot-2\src\models\config-models.ts                          | TypeScript         |          7 |          0 |          1 |          8 |
| d:\coding\syndicate-bot-2\src\models\enum-helpers\index.ts                     | TypeScript         |          2 |          0 |          1 |          3 |
| d:\coding\syndicate-bot-2\src\models\enum-helpers\language.ts                  | TypeScript         |        101 |          4 |          6 |        111 |
| d:\coding\syndicate-bot-2\src\models\enum-helpers\permission.ts                | TypeScript         |        241 |          0 |          4 |        245 |
| d:\coding\syndicate-bot-2\src\models\internal-models.ts                        | TypeScript         |          9 |          5 |          3 |         17 |
| d:\coding\syndicate-bot-2\src\models\manager.ts                                | TypeScript         |         50 |          0 |         12 |         62 |
| d:\coding\syndicate-bot-2\src\models\master-api\clusters.ts                    | TypeScript         |         36 |          0 |          7 |         43 |
| d:\coding\syndicate-bot-2\src\models\master-api\index.ts                       | TypeScript         |          5 |          0 |          1 |          6 |
| d:\coding\syndicate-bot-2\src\reactions\index.ts                               | TypeScript         |          1 |          0 |          1 |          2 |
| d:\coding\syndicate-bot-2\src\reactions\reaction.ts                            | TypeScript         |         14 |          0 |          3 |         17 |
| d:\coding\syndicate-bot-2\src\services\command-registration-service.ts         | TypeScript         |        168 |          0 |         14 |        182 |
| d:\coding\syndicate-bot-2\src\services\event-data-service.ts                   | TypeScript         |         37 |          3 |          5 |         45 |
| d:\coding\syndicate-bot-2\src\services\http-service.ts                         | TypeScript         |         50 |          0 |          5 |         55 |
| d:\coding\syndicate-bot-2\src\services\index.ts                                | TypeScript         |          7 |          0 |          1 |          8 |
| d:\coding\syndicate-bot-2\src\services\job-service.ts                          | TypeScript         |         38 |          0 |          7 |         45 |
| d:\coding\syndicate-bot-2\src\services\lang.ts                                 | TypeScript         |         75 |          0 |          9 |         84 |
| d:\coding\syndicate-bot-2\src\services\logger.ts                               | TypeScript         |         99 |          4 |         10 |        113 |
| d:\coding\syndicate-bot-2\src\services\master-api-service.ts                   | TypeScript         |         50 |          0 |         13 |         63 |
| d:\coding\syndicate-bot-2\src\start-bot.ts                                     | TypeScript         |        194 |         21 |         19 |        234 |
| d:\coding\syndicate-bot-2\src\start-manager.ts                                 | TypeScript         |         58 |         36 |         16 |        110 |
| d:\coding\syndicate-bot-2\src\triggers\index.ts                                | TypeScript         |          1 |          0 |          1 |          2 |
| d:\coding\syndicate-bot-2\src\triggers\trigger.ts                              | TypeScript         |          7 |          0 |          3 |         10 |
| d:\coding\syndicate-bot-2\src\types\supabase.ts                                | TypeScript         |      2,369 |          0 |          0 |      2,369 |
| d:\coding\syndicate-bot-2\src\utils\banner-utils.ts                            | TypeScript         |         92 |          1 |          9 |        102 |
| d:\coding\syndicate-bot-2\src\utils\button-utils.ts                            | TypeScript         |          1 |          0 |          1 |          2 |
| d:\coding\syndicate-bot-2\src\utils\channel-utils.ts                           | TypeScript         |        111 |          0 |          8 |        119 |
| d:\coding\syndicate-bot-2\src\utils\client-utils.ts                            | TypeScript         |        225 |          2 |         21 |        248 |
| d:\coding\syndicate-bot-2\src\utils\command-utils.ts                           | TypeScript         |         21 |          0 |          4 |         25 |
| d:\coding\syndicate-bot-2\src\utils\components-utils.ts                        | TypeScript         |        163 |          3 |         20 |        186 |
| d:\coding\syndicate-bot-2\src\utils\database\bot-error-db-utils.ts             | TypeScript         |         16 |          0 |          3 |         19 |
| d:\coding\syndicate-bot-2\src\utils\database\channel-db-utils.ts               | TypeScript         |         80 |          0 |         12 |         92 |
| d:\coding\syndicate-bot-2\src\utils\database\direct-db-utils.ts                | TypeScript         |         22 |          0 |          4 |         26 |
| d:\coding\syndicate-bot-2\src\utils\database\embed-db-utils.ts                 | TypeScript         |         22 |          0 |          4 |         26 |
| d:\coding\syndicate-bot-2\src\utils\database\guild-db-utils.ts                 | TypeScript         |         81 |          0 |         11 |         92 |
| d:\coding\syndicate-bot-2\src\utils\database\guild-settings-db-utils.ts        | TypeScript         |         72 |          0 |         11 |         83 |
| d:\coding\syndicate-bot-2\src\utils\database\index.ts                          | TypeScript         |         11 |          0 |          4 |         15 |
| d:\coding\syndicate-bot-2\src\utils\database\input-db-utils.ts                 | TypeScript         |         22 |          0 |          4 |         26 |
| d:\coding\syndicate-bot-2\src\utils\database\interaction-db-utils.ts           | TypeScript         |         54 |          0 |          7 |         61 |
| d:\coding\syndicate-bot-2\src\utils\database\link-db-utils.ts                  | TypeScript         |         18 |          0 |          4 |         22 |
| d:\coding\syndicate-bot-2\src\utils\database\mention-db-utils.ts               | TypeScript         |         41 |          0 |          7 |         48 |
| d:\coding\syndicate-bot-2\src\utils\database\news-db-utils.ts                  | TypeScript         |         80 |          2 |          8 |         90 |
| d:\coding\syndicate-bot-2\src\utils\database\news-image-db-utils.ts            | TypeScript         |         17 |          0 |          3 |         20 |
| d:\coding\syndicate-bot-2\src\utils\database\poll-choice-db-utils.ts           | TypeScript         |         22 |          0 |          4 |         26 |
| d:\coding\syndicate-bot-2\src\utils\database\poll-db-utils.ts                  | TypeScript         |         15 |          0 |          4 |         19 |
| d:\coding\syndicate-bot-2\src\utils\database\promo-db-utils.ts                 | TypeScript         |         13 |          0 |          3 |         16 |
| d:\coding\syndicate-bot-2\src\utils\database\quiz-choice-db-utils.ts           | TypeScript         |         22 |          0 |          4 |         26 |
| d:\coding\syndicate-bot-2\src\utils\database\quiz-db-utils.ts                  | TypeScript         |         18 |          0 |          4 |         22 |
| d:\coding\syndicate-bot-2\src\utils\database\redirect-db-utils.ts              | TypeScript         |         15 |          0 |          4 |         19 |
| d:\coding\syndicate-bot-2\src\utils\database\referral-db-utils.ts              | TypeScript         |         39 |          0 |          6 |         45 |
| d:\coding\syndicate-bot-2\src\utils\database\tags-db.utils.ts                  | TypeScript         |         82 |          0 |         10 |         92 |
| d:\coding\syndicate-bot-2\src\utils\database\user-db-utils.ts                  | TypeScript         |         50 |          0 |          8 |         58 |
| d:\coding\syndicate-bot-2\src\utils\embed-utils.ts                             | TypeScript         |        174 |          2 |         29 |        205 |
| d:\coding\syndicate-bot-2\src\utils\format-utils.ts                            | TypeScript         |         47 |          2 |          9 |         58 |
| d:\coding\syndicate-bot-2\src\utils\guild-utils.ts                             | TypeScript         |         53 |          0 |          4 |         57 |
| d:\coding\syndicate-bot-2\src\utils\index.ts                                   | TypeScript         |         22 |          0 |          1 |         23 |
| d:\coding\syndicate-bot-2\src\utils\interaction-utils.ts                       | TypeScript         |        312 |          0 |         16 |        328 |
| d:\coding\syndicate-bot-2\src\utils\math-utils.ts                              | TypeScript         |         14 |          0 |          4 |         18 |
| d:\coding\syndicate-bot-2\src\utils\message-utils.ts                           | TypeScript         |        176 |          0 |         11 |        187 |
| d:\coding\syndicate-bot-2\src\utils\news-channels-utils.ts                     | TypeScript         |         80 |          0 |         19 |         99 |
| d:\coding\syndicate-bot-2\src\utils\news-utils.ts                              | TypeScript         |        178 |          0 |         16 |        194 |
| d:\coding\syndicate-bot-2\src\utils\partial-utils.ts                           | TypeScript         |         80 |          0 |          9 |         89 |
| d:\coding\syndicate-bot-2\src\utils\permission-utils.ts                        | TypeScript         |         94 |         23 |         11 |        128 |
| d:\coding\syndicate-bot-2\src\utils\random-utils.ts                            | TypeScript         |         12 |          0 |          2 |         14 |
| d:\coding\syndicate-bot-2\src\utils\regex-utils.ts                             | TypeScript         |         26 |          0 |          6 |         32 |
| d:\coding\syndicate-bot-2\src\utils\schedule-utils.ts                          | TypeScript         |        346 |          0 |         35 |        381 |
| d:\coding\syndicate-bot-2\src\utils\shard-utils.ts                             | TypeScript         |         42 |          3 |          8 |         53 |
| d:\coding\syndicate-bot-2\src\utils\string-utils.ts                            | TypeScript         |         29 |          3 |          6 |         38 |
| d:\coding\syndicate-bot-2\src\utils\thread-utils.ts                            | TypeScript         |         49 |          0 |          4 |         53 |
| d:\coding\syndicate-bot-2\src\webhooks\news.ts                                 | TypeScript         |         67 |          0 |          5 |         72 |
| d:\coding\syndicate-bot-2\tsconfig.json                                        | JSON with Comments |         19 |          0 |          1 |         20 |
| Total                                                                          |                    |     12,985 |        264 |      1,231 |     14,480 |
+--------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
